isbn,booktitle,bookauthor,yearofpublication,publisher
440234743,The Testament,John Grisham,1999,Dell
971880107,Wild Animus,Rich Shapero,2004,Too Far
345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
60976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group
60938455,Fast Food Nation: The Dark Side of the AllAmerican Meal,Eric Schlosser,2002,Perennial
446672211,Where the Heart Is (Oprah s Book Club (Paperback)),Billie Letts,1998,Warner Books
142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
60928336,Divine Secrets of the YaYa Sisterhood: A Novel,Rebecca Wells,1997,Perennial
671003755,She s Come Undone (Oprah s Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
380789019,Neverwhere,Neil Gaiman,1998,Avon
385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta
446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision
60930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial
345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books
60934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial
375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage
375707972,The Reader,Bernhard Schlink,1999,Vintage Books USA
553572997,The Alienist,Caleb Carr,1995,Bantam Books
385486804,Into the Wild,Jon Krakauer,1997,Anchor
440236673,The Brethren,John Grisham,2000,Island
446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision
067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA
449212602,The Handmaid s Tale,Margaret Atwood,1989,Fawcett Books
451524934,1984,George Orwell,1990,Signet Book
345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey
385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life s Greatest Lesson",MITCH ALBOM,1997,Doubleday
345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books
446605239,The Notebook,Nicholas Sparks,1998,Warner Books
590353403,Harry Potter and the Sorcerer s Stone (Book 1),J. K. Rowling,1998,Scholastic
684874350,ANGELA S ASHES,Frank McCourt,1996,Scribner
312305060,The Hours: A Novel,Michael Cunningham,2002,Picador
